slot,candidate_id,total_score,near_score,far_score,performance_score,unknown_p50,frame_ms_p95,run_id
best_overall,candidate_0030,93.407,20.0,10.0,4.407,0.0,70.60619999999999,hand_occlusion_reappear_candidate_0030
best_far_retention,candidate_0030,93.407,20.0,10.0,4.407,0.0,70.60619999999999,hand_occlusion_reappear_candidate_0030
best_realtime,candidate_0030,93.407,20.0,10.0,4.407,0.0,70.60619999999999,hand_occlusion_reappear_candidate_0030
best_low_unknown,candidate_0030,93.407,20.0,10.0,4.407,0.0,70.60619999999999,hand_occlusion_reappear_candidate_0030
best_low_merge,candidate_0030,93.407,20.0,10.0,4.407,0.0,70.60619999999999,hand_occlusion_reappear_candidate_0030
best_low_split,candidate_0030,93.407,20.0,10.0,4.407,0.0,70.60619999999999,hand_occlusion_reappear_candidate_0030
best_roi_refresh,candidate_0040,92.987,20.0,10.0,3.987,0.0,73.40759999999999,hand_occlusion_reappear_candidate_0040
best_roi_stereo_preservation,candidate_0040,92.987,20.0,10.0,3.987,0.0,73.40759999999999,hand_occlusion_reappear_candidate_0040
best_roi_stereo_rebuild,no_pass_candidate,,,,,,,
best_roi_stereo_direct_build,no_pass_candidate,,,,,,,
